event_time,symbol,price,quantity,trade_time
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00427,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,8e-05,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00194,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.18529,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.055,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.055,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.055,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.055,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.027,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.198,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.00048,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,0.04527,2026-04-12 11:00:21.723000
2026-04-12 11:00:21.723000,BTCUSDT,71684.39,8e-05,2026-04-12 11:00:21.723000
